tsStart, tsEnd, interruption_lag, disturbance, interruptibility, mental_workload
2023-04-17T16:49:35.823Z, 2023-04-17T16:51:03.342Z, 58936, 2, 5, 3
2023-04-17T16:52:04.772Z, 2023-04-17T16:53:44.130Z, 59453, 2, 4, 4
2023-04-17T17:00:45.402Z, 2023-04-17T17:04:06.174Z, 123401, 4, 5, 4
2023-04-17T17:06:07.438Z, 2023-04-17T17:10:17.477Z, 218949, 1, 5, 5
2023-04-17T17:14:18.759Z, 2023-04-17T17:17:19.173Z, 144208, 2, 3, 4
2023-04-17T17:22:20.450Z, 2023-04-17T17:24:01.415Z, 58827, 2, 2, 5
2023-04-17T17:27:02.358Z, 2023-04-17T17:30:03.277Z, 150403, 4, 5, 5
2023-04-17T17:34:04.190Z, 2023-04-17T17:41:13.067Z, 338877, 1, 5, 5
2023-04-17T17:43:13.952Z, 2023-04-17T17:44:34.001Z, 42601, 4, 2, 4
