tsStart, tsEnd, interruption_lag, disturbance, interruptibility, mental_workload
2023-03-30T11:48:33.936Z, 2023-03-30T11:49:17.007Z, 3411, 4, 2, 3
2023-03-30T11:54:19.011Z, 2023-03-30T11:55:22.450Z, 1994, 4, 1, 4
2023-03-30T11:56:23.804Z, 2023-03-30T11:57:29.648Z, 2131, 5, 2, 4
2023-03-30T12:07:31.204Z, 2023-03-30T12:09:19.586Z, 3886, 5, 5, 5
2023-03-30T12:19:21.534Z, 2023-03-30T12:22:37.423Z, 3134, 4, 2, 4
2023-03-30T12:34:50.368Z, 2023-03-30T12:36:38.617Z, 2328, 2, 2, 2
2023-03-30T12:45:40.218Z, 2023-03-30T12:47:01.318Z, 2544, 4, 2, 3
