tsStart, tsEnd, interruption_lag, disturbance, interruptibility, mental_workload
2023-04-01T14:43:03.293Z, 2023-04-01T14:43:36.463Z, 5684, 2, 1, 3
2023-04-01T14:47:38.284Z, 2023-04-01T14:48:28.739Z, 18523, 3, 2, 4
2023-04-01T14:51:29.731Z, 2023-04-01T14:52:06.551Z, 19271, 4, 3, 5
2023-04-01T15:00:08.177Z, 2023-04-01T15:00:59.489Z, 23598, 4, 3, 5
2023-04-01T15:10:00.954Z, 2023-04-01T15:11:12.947Z, 50463, 5, 4, 5
2023-04-01T15:19:14.002Z, 2023-04-01T15:20:09.568Z, 31884, 3, 4, 5
2023-04-01T15:24:10.414Z, 2023-04-01T15:24:50.651Z, 4392, 3, 3, 5
2023-04-01T15:27:52.068Z, 2023-04-01T15:29:17.778Z, 50749, 4, 4, 5
