tsStart, tsEnd, interruption_lag, disturbance, interruptibility, mental_workload
2023-04-01T10:39:51.780Z, 2023-04-01T10:40:45.213Z, 3614, 3, 5, 1
2023-04-01T10:47:47.873Z, 2023-04-01T10:48:44.177Z, 2633, 4, 4, 3
2023-04-01T10:55:45.631Z, 2023-04-01T10:57:03.738Z, 34462, 4, 2, 3
2023-04-01T11:01:05.108Z, 2023-04-01T11:02:33.636Z, 39435, 2, 3, 2
2023-04-01T11:13:34.904Z, 2023-04-01T11:14:34.511Z, 3256, 2, 4, 2
2023-04-01T11:18:36.262Z, 2023-04-01T11:19:48.814Z, 10320, 4, 2, 3
2023-04-01T11:30:50.158Z, 2023-04-01T11:31:55.782Z, 3423, 4, 2, 3
2023-04-01T11:35:57.134Z, 2023-04-01T11:37:10.693Z, 48097, 3, 2, 4
