tsStart, tsEnd, interruption_lag, disturbance, interruptibility, mental_workload
2023-03-29T14:06:25.548Z, 2023-03-29T14:07:25.600Z, 6398, 2, 4, 3
2023-03-29T14:12:27.629Z, 2023-03-29T14:13:05.606Z, 6026, 1, 5, 4
2023-03-29T14:20:07.344Z, 2023-03-29T14:21:00.377Z, 8476, 2, 5, 5
2023-03-29T14:31:01.935Z, 2023-03-29T14:32:34.329Z, 5026, 1, 4, 4
2023-03-29T14:41:35.741Z, 2023-03-29T14:42:24.840Z, 4325, 3, 1, 4
2023-03-29T14:45:26.020Z, 2023-03-29T14:46:15.594Z, 4178, 3, 1, 5
2023-03-29T14:55:16.905Z, 2023-03-29T14:56:19.841Z, 5388, 4, 2, 4
2023-03-29T14:58:21.344Z, 2023-03-29T14:59:10.225Z, 4316, 2, 1, 5
