tsStart, tsEnd, interruption_lag, disturbance, interruptibility, mental_workload
2023-04-04T12:49:35.425Z, 2023-04-04T12:50:55.033Z, 29983, 2, 2, 3
2023-04-04T12:59:57.048Z, 2023-04-04T13:00:45.247Z, 15723, 4, 3, 4
2023-04-04T13:04:46.766Z, 2023-04-04T13:05:39.478Z, 3266, 4, 4, 4
2023-04-04T13:06:41.045Z, 2023-04-04T13:08:18.900Z, 45151, 5, 4, 2
2023-04-04T13:10:20.235Z, 2023-04-04T13:11:18.165Z, 19505, 5, 4, 3
2023-04-04T13:22:19.340Z, 2023-04-04T13:24:22.182Z, 17711, 4, 5, 3
2023-04-04T13:33:23.647Z, 2023-04-04T13:34:11.313Z, 24424, 3, 2, 1
2023-04-04T13:42:12.605Z, 2023-04-04T13:42:52.725Z, 17032, 5, 4, 3
2023-04-04T13:44:54.088Z, 2023-04-04T13:45:41.450Z, 23963, 5, 5, 3
