tsStart, tsEnd, interruption_lag, disturbance, interruptibility, mental_workload
2023-05-30T09:05:28.259Z, 2023-05-30T09:06:56.592Z, 6240, 4, 4, 4
2023-05-30T09:10:59.310Z, 2023-05-30T09:13:39.096Z, 23146, 4, 2, 4
2023-05-30T09:16:40.884Z, 2023-05-30T09:17:50.319Z, 7763, 3, 2, 3
2023-05-30T09:22:52.494Z, 2023-05-30T09:24:26.147Z, 17751, 4, 2, 3
2023-05-30T09:25:28.398Z, 2023-05-30T09:26:36.911Z, 17646, 4, 2, 3
2023-05-30T09:31:38.330Z, 2023-05-30T09:32:31.052Z, 4899, 3, 2, 2
2023-05-30T09:38:32.573Z, 2023-05-30T09:39:51.380Z, 4163, 2, 2, 2
2023-05-30T09:49:52.894Z, 2023-05-30T09:52:12.702Z, 39058, 2, 2, 3
2023-05-30T10:00:14.980Z, 2023-05-30T10:01:18.384Z, 9834, 2, 1, 3
