tsStart, tsEnd, interruption_lag, disturbance, interruptibility, mental_workload
2023-04-06T16:49:55.659Z, 2023-04-06T16:50:41.438Z, 4430, 4, 2, 4
2023-04-06T16:56:42.758Z, 2023-04-06T16:57:55.658Z, 24729, 3, 3, 2
2023-04-06T16:58:56.952Z, 2023-04-06T17:00:07.264Z, 30853, 5, 4, 4
2023-04-06T17:01:08.726Z, 2023-04-06T17:02:38.470Z, 44053, 4, 4, 4
2023-04-06T17:04:39.688Z, 2023-04-06T17:07:12.540Z, 34361, 3, 4, 5
2023-04-06T17:11:13.930Z, 2023-04-06T17:12:43.576Z, 31397, 3, 4, 4
2023-04-06T17:16:44.717Z, 2023-04-06T17:20:13.645Z, 47078, 5, 4, 5
2023-04-06T17:27:15.007Z, 2023-04-06T17:31:39.978Z, 50230, 4, 2, 4
2023-04-06T17:40:42.090Z, 2023-04-06T17:42:34.828Z, 5496, 4, 2, 5
